episode,reward,best_reward,mutation_count,mutation_rate,mutated_keys,explore,adaptation_good,adaptation_failures,decision_hold_rate,decision_action_rate,decision_action_accuracy_non_hold,decision_conflict_rate,decision_precision_up,decision_precision_down,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,sup_up_accuracy,sup_up_f1,sup_down_accuracy,sup_down_f1,rl_up_accuracy,rl_up_hold_rate,rl_down_accuracy,rl_down_hold_rate,score_base,score_improve,score,delta_up_accuracy,delta_down_accuracy,improve_up_accuracy,improve_down_accuracy,param.features.list_of_features,param.features.window_size_K,param.supervised.epochs,param.supervised.batch_size,param.supervised.lr,param.supervised.weight_decay,param.supervised.hidden_dim,param.supervised.early_stopping_patience,param.decision_rule.T_min,param.decision_rule.delta_min,param.decision_rule.use_best_from_scan,param.decision_rule.scan_min,param.decision_rule.scan_max,param.decision_rule.scan_step,param.rl.episodes,param.rl.steps_per_episode,param.rl.gamma,param.rl.lr,param.rl.entropy_bonus,param.rl.reward.R_correct,param.rl.reward.R_wrong,param.rl.reward.R_opposite,param.rl.reward.R_hold,param.rl.policy_hidden_dim
11,0.9009929287879668,1.26542207933814,2,0.08333333333333333,"rl.reward.R_hold,supervised.lr",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.5336538461538461,0.625,0.5408653846153846,0.2899628252788104,0.5180853027485703,0.4343,0.47549142190970095,0.5093,0.9009929287879668,0.0,0.9009929287879668,-0.009111941216257802,-0.009894007870626664,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.3,128
12,0.8898683012656644,1.26542207933814,2,0.08333333333333333,"rl.lr,supervised.lr",0,0.0,rl_up_accuracy < 0.5200 (got 0.5147),0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.5336538461538461,0.625,0.5408653846153846,0.2899628252788104,0.5146512803698855,0.38919999999999993,0.47627186429328733,0.5855999999999999,0.8898683012656644,0.0,0.8898683012656644,0.0,0.0,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.001,0.02,1.0,1.0,2.0,0.4,128
13,0.8774620751708458,1.26542207933814,2,0.08333333333333333,"supervised.lr,features.window_size_K",0,1.0,,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.542765787370104,0.6103542234332425,0.5507593924860112,0.30617283950617286,0.5227302907931791,0.4462,0.48270168596398455,0.5313,0.8698596955360921,0.007602379634753787,0.8774620751708458,0.009111941216257802,0.009894007870626664,0.009111941216257802,0.009894007870626664,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",16,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
14,0.9029787411628057,1.26542207933814,2,0.08333333333333333,"decision_rule.T_min,supervised.lr",0,0.0,rl_up_accuracy < 0.5200 (got 0.5179),0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.5336538461538461,0.625,0.5408653846153846,0.2899628252788104,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.9029787411628057,0.0,0.9029787411628057,-0.009111941216257802,-0.009894007870626664,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0001,64,10,0.5,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
15,0.851757786935779,1.26542207933814,2,0.08333333333333333,"features.window_size_K,rl.policy_hidden_dim",0,0.0,precision_down < 0.5100 (got 0.3846),0.27577937649880097,0.7242206235011991,0.5353200883002207,0.0031974420463629096,0.5420991926182238,0.38461538461538464,0.27577937649880097,0.7242206235011991,0.5353200883002207,0.0031974420463629096,0.5420991926182238,0.38461538461538464,0.5443645083932853,0.6090534979423868,0.5259792166266987,0.029459901800327332,0.5273292229759436,0.5178999999999999,0.48372762593902274,0.5092,0.8474735220400033,0.004284264895775669,0.851757786935779,0.010710662239439173,-0.014886167988685917,0.010710662239439173,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",16,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,64
16,0.8469687920447181,1.26542207933814,2,0.08333333333333333,"decision_rule.T_min,rl.entropy_bonus",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5180843201825247,0.4342999999999999,0.47653577585629847,0.5001,0.8432579145928335,0.0037108774518846313,0.8469687920447181,-0.023531175059951948,0.009277193629711578,0.0,0.009277193629711578,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.5,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.4,128
17,0.6983158802151106,1.26542207933814,2,0.08333333333333333,"rl.entropy_bonus,supervised.weight_decay",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.3469551282051282,0.6530448717948718,0.5460122699386503,0.12419871794871795,0.5577889447236181,0.5137614678899083,0.3469551282051282,0.6530448717948718,0.5460122699386503,0.12419871794871795,0.5577889447236181,0.5137614678899083,0.5328525641025641,0.5240816326530612,0.530448717948718,0.3233256351039261,0.5180843201825247,0.4342999999999999,0.47653577585629847,0.5001,0.6935081879074183,0.004807692307692291,0.6983158802151106,0.012019230769230727,-0.004807692307692291,0.012019230769230727,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.4,128
18,0.58145683256299,1.26542207933814,2,0.08333333333333333,"supervised.weight_decay,features.list_of_features",0,0.0,hold_rate > 0.3500 (got 0.4327);precision_down < 0.5100 (got 0.4780);rl_up_accuracy < 0.5200 (got 0.5166),0.4326923076923077,0.5673076923076923,0.5451977401129944,0.13141025641025642,0.5684410646387833,0.47802197802197804,0.4326923076923077,0.5673076923076923,0.5451977401129944,0.13141025641025642,0.5684410646387833,0.47802197802197804,0.5232371794871795,0.5800988002822866,0.5248397435897436,0.3816475495307612,0.5166267786659161,0.4252,0.47597921358690287,0.5186,0.58145683256299,0.0,0.58145683256299,-0.009615384615384581,-0.005608974358974339,0.0,0.0,"['returns', 'log_returns', 'volatility', 'volatility_20', 'range', 'atr_14', 'volume_zscore_20']",32,50,64,0.0005,0.0,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
19,0.5519389170113992,1.26542207933814,2,0.08333333333333333,"supervised.hidden_dim,features.list_of_features",0,0.0,action_accuracy_non_hold < 0.5300 (got 0.5219);hold_rate > 0.3500 (got 0.4519);precision_down < 0.5100 (got 0.4698);rl_up_accuracy < 0.5200 (got 0.5166),0.4519230769230769,0.5480769230769231,0.5219298245614035,0.10737179487179487,0.5458422174840085,0.4697674418604651,0.4519230769230769,0.5480769230769231,0.5219298245614035,0.10737179487179487,0.5458422174840085,0.4697674418604651,0.5112179487179487,0.5364741641337386,0.5080128205128205,0.3932806324110672,0.5166267786659161,0.4252,0.47597921358690287,0.5186,0.5519389170113992,0.0,0.5519389170113992,-0.012019230769230838,-0.016826923076923128,0.0,0.0,"['returns', 'log_returns', 'volatility', 'volatility_20', 'range', 'atr_14', 'volume_zscore_20']",32,50,64,0.0005,0.0001,128,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
20,0.7162531897627888,1.26542207933814,2,0.08333333333333333,"supervised.weight_decay,supervised.hidden_dim",0,0.0,hold_rate > 0.3500 (got 0.3998);rl_up_accuracy < 0.5200 (got 0.5179),0.3998397435897436,0.6001602564102564,0.5554072096128171,0.036057692307692304,0.5563636363636364,0.5527638190954773,0.3998397435897436,0.6001602564102564,0.5554072096128171,0.036057692307692304,0.5563636363636364,0.5527638190954773,0.5240384615384616,0.5416666666666666,0.5336538461538461,0.34606741573033706,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.7008685743781734,0.01538461538461542,0.7162531897627888,0.012820512820512886,0.02564102564102566,0.012820512820512886,0.02564102564102566,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0,128,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
21,0.8460902926230072,1.26542207933814,2,0.08333333333333333,"decision_rule.delta_min,rl.reward.R_opposite",0,0.0,rl_up_accuracy < 0.5200 (got 0.5178),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5178467533330688,0.4257000000000001,0.47553294025389653,0.49119999999999997,0.8454492669819815,0.0006410256410256387,0.8460902926230072,-0.0032051282051281937,0.0016025641025640969,0.0,0.0016025641025640969,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.6,0.04,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,1.5,0.4,128
22,0.8848338700426407,1.26542207933814,2,0.08333333333333333,"supervised.lr,features.window_size_K",0,1.0,,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.542765787370104,0.6103542234332425,0.5507593924860112,0.30617283950617286,0.5227302907931791,0.4462,0.48270168596398455,0.5313,0.8698596955360921,0.014974174506548633,0.8848338700426407,0.021932454036770577,0.015502982229601003,0.021932454036770577,0.015502982229601003,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",16,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
23,0.7038151995479313,1.26542207933814,2,0.08333333333333333,"supervised.hidden_dim,rl.reward.R_opposite",0,0.0,hold_rate > 0.3500 (got 0.3950);rl_up_accuracy < 0.5200 (got 0.5178),0.39503205128205127,0.6049679487179487,0.5562913907284768,0.04487179487179487,0.5602189781021898,0.5458937198067633,0.39503205128205127,0.6049679487179487,0.5562913907284768,0.04487179487179487,0.5602189781021898,0.5458937198067633,0.5328525641025641,0.5511932255581217,0.532051282051282,0.3568281938325991,0.5178467533330688,0.4257000000000001,0.47553294025389653,0.49119999999999997,0.7038151995479313,0.0,0.7038151995479313,-0.00991322326753985,-0.018708110434729197,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,128,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,1.5,0.4,128
24,0.853641375421479,1.26542207933814,2,0.08333333333333333,"features.window_size_K,rl.entropy_bonus",0,0.0,precision_down < 0.5100 (got 0.3846),0.27577937649880097,0.7242206235011991,0.5353200883002207,0.0031974420463629096,0.5420991926182238,0.38461538461538464,0.27577937649880097,0.7242206235011991,0.5353200883002207,0.0031974420463629096,0.5420991926182238,0.38461538461538464,0.5443645083932853,0.6090534979423868,0.5259792166266987,0.029459901800327332,0.5228490091779804,0.44489999999999996,0.4828754220009722,0.5317000000000001,0.8490365977051905,0.004604777716288489,0.853641375421479,0.011511944290721221,-0.006072065424583384,0.011511944290721221,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",16,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.4,128
25,0.855171872067265,1.26542207933814,2,0.08333333333333333,"rl.policy_hidden_dim,rl.reward.R_hold",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5181274257306514,0.42430000000000007,0.4726719231386024,0.45640000000000003,0.8514609946153804,0.0037108774518846313,0.855171872067265,-0.023531175059951948,0.009277193629711578,0.0,0.009277193629711578,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.3,64
26,0.6960583351496807,1.26542207933814,2,0.08333333333333333,"rl.reward.R_hold,supervised.weight_decay",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.3469551282051282,0.6530448717948718,0.5460122699386503,0.12419871794871795,0.5577889447236181,0.5137614678899083,0.3469551282051282,0.6530448717948718,0.5460122699386503,0.12419871794871795,0.5577889447236181,0.5137614678899083,0.5328525641025641,0.5240816326530612,0.530448717948718,0.3233256351039261,0.5180853027485703,0.4343,0.47549142190970095,0.5093,0.6912506428419884,0.004807692307692291,0.6960583351496807,0.012019230769230727,-0.004807692307692291,0.012019230769230727,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.3,128
27,0.7550001541997302,1.26542207933814,2,0.08333333333333333,"features.list_of_features,supervised.lr",0,0.0,rl_up_accuracy < 0.5200 (got 0.5146),0.3023255813953488,0.6976744186046512,0.5367816091954023,0.09382518043303929,0.536986301369863,0.5357142857142857,0.3023255813953488,0.6976744186046512,0.5367816091954023,0.09382518043303929,0.536986301369863,0.5357142857142857,0.5060144346431436,0.6,0.5340817963111467,0.340522133938706,0.5145507605933227,0.5026,0.4855587137955949,0.5082,0.7535469228547587,0.0014532313449715064,0.7550001541997302,-0.026838129459420546,0.0036330783624287655,0.0,0.0036330783624287655,"['returns', 'log_returns', 'sma_5', 'sma_20', 'ema_12', 'ema_26', 'ema_diff', 'momentum_10', 'roc_5']",32,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
28,0.9840812319337399,1.26542207933814,2,0.08333333333333333,"supervised.hidden_dim,supervised.lr",0,0.0,rl_up_accuracy < 0.5200 (got 0.5179),0.16666666666666666,0.8333333333333334,0.5384615384615384,0.023237179487179488,0.5371819960861057,0.6111111111111112,0.16666666666666666,0.8333333333333334,0.5384615384615384,0.023237179487179488,0.5371819960861057,0.6111111111111112,0.5344551282051282,0.6704480998298356,0.5328525641025641,0.11800302571860817,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.972704954508946,0.011376277424793857,0.9840812319337399,0.028440693561984642,-0.0012292322085826202,0.028440693561984642,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0001,128,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
