episode,reward,best_reward,adaptation_good,adaptation_failures,up_last_reward,down_last_reward,reset_to_best,decision_hold_rate,decision_action_rate,decision_action_accuracy_non_hold,decision_conflict_rate,decision_precision_up,decision_precision_down,decision_up_rate,decision_down_rate,decision_down_share,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,up_rate,down_rate,down_share,decision_hold_rate_trend,decision_action_rate_trend,decision_action_accuracy_non_hold_trend,decision_conflict_rate_trend,decision_precision_up_trend,decision_precision_down_trend,decision_up_rate_trend,decision_down_rate_trend,decision_down_share_trend,hold_rate_trend,action_rate_trend,action_accuracy_non_hold_trend,conflict_rate_trend,precision_up_trend,precision_down_trend,up_rate_trend,down_rate_trend,down_share_trend,decision_hold_rate_flat,decision_action_rate_flat,decision_action_accuracy_non_hold_flat,decision_conflict_rate_flat,decision_precision_up_flat,decision_precision_down_flat,decision_up_rate_flat,decision_down_rate_flat,decision_down_share_flat,hold_rate_flat,action_rate_flat,action_accuracy_non_hold_flat,conflict_rate_flat,precision_up_flat,precision_down_flat,up_rate_flat,down_rate_flat,down_share_flat,rl_up_accuracy,rl_down_accuracy,rl_up_error_balance,rl_down_error_balance,rl_up_hold_rate,rl_down_hold_rate,score_base,score_improve,score,delta_up_accuracy,delta_down_accuracy,improve_up_accuracy,improve_down_accuracy,drift_score
11,-0.496832605505244,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0056);hold_rate > 0.3500 (got 0.9944);precision_down < 0.4900 (got 0.0000),-0.6440779217481614,-0.44,1,0.9943910256410257,0.005608974358974359,0.5714285714285714,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,0.9943910256410257,0.005608974358974359,0.5714285714285714,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,0.9943910256410257,0.005608974358974359,0.5714285714285714,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,0.9943910256410257,0.005608974358974359,0.5714285714285714,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5080128205128205,0.5152243589743589,0.026058631921824105,1.0,0.44310897435897434,0.0,-0.496832605505244,0.0,-0.496832605505244,-0.012019230769230838,0.0,0.0,0.0,0.0
12,-0.42138136863339526,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1675);hold_rate > 0.3500 (got 0.8325);precision_down < 0.4900 (got 0.0000),-0.46147920440137385,-0.6414448478519915,1,0.8325320512820513,0.1674679487179487,0.5885167464114832,0.0,0.5885167464114832,0.0,1.0,0.0,0.0,0.8325320512820513,0.1674679487179487,0.5885167464114832,0.0,0.5885167464114832,0.0,1.0,0.0,0.0,0.8325320512820513,0.1674679487179487,0.5885167464114832,0.0,0.5885167464114832,0.0,1.0,0.0,0.0,0.8325320512820513,0.1674679487179487,0.5885167464114832,0.0,0.5885167464114832,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.5104166666666666,0.9096989966555183,0.9443535188216039,0.07532051282051282,0.06891025641025642,-0.4265095737616004,0.005128205128205155,-0.42138136863339526,0.012820512820512886,-0.004807692307692291,0.012820512820512886,0.0,0.0
13,-0.45291401014019,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0072);hold_rate > 0.3500 (got 0.9928);precision_down < 0.4900 (got 0.0000),-0.3802062387168407,-0.5106652071475982,1,0.9927884615384616,0.007211538461538462,0.7777777777777778,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,0.9927884615384616,0.007211538461538462,0.7777777777777778,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,0.9927884615384616,0.007211538461538462,0.7777777777777778,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,0.9927884615384616,0.007211538461538462,0.7777777777777778,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5040064102564102,0.5104166666666666,0.5282714054927302,0.9705400981996727,0.2299679487179487,0.016826923076923076,-0.45291401014019,0.0,-0.45291401014019,-0.016826923076923128,0.0,0.0,0.0,0.0
14,-0.4586914782501843,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0256);hold_rate > 0.3500 (got 0.9744);precision_down < 0.4900 (got 0.0000);rl_up_accuracy < 0.5000 (got 0.4984),-0.6950256513059139,-0.515,1,0.9743589743589743,0.02564102564102564,0.71875,0.0,0.71875,0.0,1.0,0.0,0.0,0.9743589743589743,0.02564102564102564,0.71875,0.0,0.71875,0.0,1.0,0.0,0.0,0.9743589743589743,0.02564102564102564,0.71875,0.0,0.71875,0.0,1.0,0.0,0.0,0.9743589743589743,0.02564102564102564,0.71875,0.0,0.71875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983974358974359,0.5152243589743589,0.31629392971246006,1.0,0.37900641025641024,0.0,-0.4606145551732612,0.0019230769230769162,-0.4586914782501843,-0.005608974358974339,0.004807692307692291,0.0,0.004807692307692291,0.0
15,-0.029362239717208624,0.007149801085764962,0.0,precision_down < 0.4900 (got 0.0000),-0.54,-0.6596296506226063,1,0.3301282051282051,0.6698717948717948,0.5203349282296651,0.0,0.5203349282296651,0.0,1.0,0.0,0.0,0.3301282051282051,0.6698717948717948,0.5203349282296651,0.0,0.5203349282296651,0.0,1.0,0.0,0.0,0.3301282051282051,0.6698717948717948,0.5203349282296651,0.0,0.5203349282296651,0.0,1.0,0.0,0.0,0.3301282051282051,0.6698717948717948,0.5203349282296651,0.0,0.5203349282296651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136217948717948,0.5144230769230769,0.9802306425041186,0.9207920792079208,0.015224358974358974,0.17548076923076922,-0.03545198330695219,0.006089743589743568,-0.029362239717208624,0.01522435897435892,-0.0008012820512820484,0.01522435897435892,0.0,0.0
16,-0.49960146828826607,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0481);hold_rate > 0.3500 (got 0.9519);precision_down < 0.4900 (got 0.0000),-0.6679953358322382,-0.51,1,0.9519230769230769,0.04807692307692308,0.6,0.0,0.6,0.0,1.0,0.0,0.0,0.9519230769230769,0.04807692307692308,0.6,0.0,0.6,0.0,1.0,0.0,0.0,0.9519230769230769,0.04807692307692308,0.6,0.0,0.6,0.0,1.0,0.0,0.0,0.9519230769230769,0.04807692307692308,0.6,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500801282051282,0.5152243589743589,0.30658105939004815,1.0,0.4270833333333333,0.0,-0.4999219811087789,0.0003205128205128194,-0.49960146828826607,-0.012820512820512775,0.0008012820512820484,0.0,0.0008012820512820484,0.0
17,-0.591753614293508,0.007149801085764962,0.0,action_accuracy_non_hold < 0.5100 (got 0.3333);action_rate < 0.4000 (got 0.0024);hold_rate > 0.3500 (got 0.9976);precision_up < 0.5100 (got 0.3333);precision_down < 0.4900 (got 0.0000),-0.540438691958785,-0.575,1,0.9975961538461539,0.002403846153846154,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.9975961538461539,0.002403846153846154,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.9975961538461539,0.002403846153846154,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.9975961538461539,0.002403846153846154,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104166666666666,0.5152243589743589,0.309328968903437,1.0,0.25801282051282054,0.0,-0.5955997681396619,0.0038461538461538325,-0.591753614293508,0.009615384615384581,0.0,0.009615384615384581,0.0,0.0
18,-0.4292601586230922,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1619);hold_rate > 0.3500 (got 0.8381);precision_down < 0.4900 (got 0.0000),-0.5598262684345245,-0.355,1,0.8381410256410257,0.16185897435897437,0.5495049504950495,0.0,0.5495049504950495,0.0,1.0,0.0,0.0,0.8381410256410257,0.16185897435897437,0.5495049504950495,0.0,0.5495049504950495,0.0,1.0,0.0,0.0,0.8381410256410257,0.16185897435897437,0.5495049504950495,0.0,0.5495049504950495,0.0,1.0,0.0,0.0,0.8381410256410257,0.16185897435897437,0.5495049504950495,0.0,0.5495049504950495,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200320512820513,0.5152243589743589,0.7729549248747913,1.0,0.18028846153846154,0.0,-0.4331063124692461,0.003846153846153877,-0.4292601586230922,0.009615384615384692,0.0,0.009615384615384692,0.0,0.0
19,-0.6563690476190476,0.007149801085764962,0.0,action_accuracy_non_hold < 0.5100 (got 0.3571);action_rate < 0.4000 (got 0.0112);hold_rate > 0.3500 (got 0.9888);precision_up < 0.5100 (got 0.3571);precision_down < 0.4900 (got 0.0000);rl_up_accuracy < 0.5000 (got 0.4952),-0.6437840911149978,-0.405,1,0.9887820512820513,0.011217948717948718,0.35714285714285715,0.0,0.35714285714285715,0.0,1.0,0.0,0.0,0.9887820512820513,0.011217948717948718,0.35714285714285715,0.0,0.35714285714285715,0.0,1.0,0.0,0.0,0.9887820512820513,0.011217948717948718,0.35714285714285715,0.0,0.35714285714285715,0.0,1.0,0.0,0.0,0.9887820512820513,0.011217948717948718,0.35714285714285715,0.0,0.35714285714285715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4951923076923077,0.5152243589743589,0.4857142857142857,1.0,0.391025641025641,0.0,-0.6563690476190476,0.0,-0.6563690476190476,-0.024839743589743613,0.0,0.0,0.0,0.0
20,-0.4338315217391303,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0096);hold_rate > 0.3500 (got 0.9904);precision_down < 0.4900 (got 0.0000),-0.5751466431468725,-0.385,1,0.9903846153846154,0.009615384615384616,0.5833333333333334,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.9903846153846154,0.009615384615384616,0.5833333333333334,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.9903846153846154,0.009615384615384616,0.5833333333333334,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.9903846153846154,0.009615384615384616,0.5833333333333334,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.5152243589743589,0.05016722408026756,1.0,0.2876602564102564,0.0,-0.4440879319955406,0.010256410256410265,-0.4338315217391303,0.02564102564102566,0.0,0.02564102564102566,0.0,0.0
21,-0.21438785224676316,0.007149801085764962,0.0,hold_rate > 0.3500 (got 0.5833);precision_down < 0.4900 (got 0.0000),-0.38167703200876707,-0.545,1,0.5833333333333334,0.4166666666666667,0.5269230769230769,0.0,0.5269230769230769,0.0,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.5269230769230769,0.0,0.5269230769230769,0.0,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.5269230769230769,0.0,0.5269230769230769,0.0,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.5269230769230769,0.0,0.5269230769230769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144230769230769,0.5152243589743589,0.9438943894389439,1.0,0.05929487179487179,0.00641025641025641,-0.21438785224676316,0.0,-0.21438785224676316,-0.0064102564102564985,0.0,0.0,0.0,0.0
22,-0.15086784675830864,0.007149801085764962,0.0,action_accuracy_non_hold < 0.5100 (got 0.5082);hold_rate > 0.3500 (got 0.5112);precision_up < 0.5100 (got 0.5082);precision_down < 0.4900 (got 0.0000),-0.4571104688495397,-0.605,1,0.5112179487179487,0.48878205128205127,0.5081967213114754,0.0,0.5081967213114754,0.0,1.0,0.0,0.0,0.5112179487179487,0.48878205128205127,0.5081967213114754,0.0,0.5081967213114754,0.0,1.0,0.0,0.0,0.5112179487179487,0.48878205128205127,0.5081967213114754,0.0,0.5081967213114754,0.0,1.0,0.0,0.0,0.5112179487179487,0.48878205128205127,0.5081967213114754,0.0,0.5081967213114754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5160256410256411,0.5152243589743589,1.0,0.996694214876033,0.008012820512820512,0.005608974358974359,-0.15150887239933433,0.0006410256410256832,-0.15086784675830864,0.001602564102564208,0.0,0.001602564102564208,0.0,0.0
23,-0.47892594889044904,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1058);hold_rate > 0.3500 (got 0.8942);precision_down < 0.4900 (got 0.0000),-0.4649354145824909,-0.375,1,0.8942307692307693,0.10576923076923077,0.6136363636363636,0.0,0.6136363636363636,0.0,1.0,0.0,0.0,0.8942307692307693,0.10576923076923077,0.6136363636363636,0.0,0.6136363636363636,0.0,1.0,0.0,0.0,0.8942307692307693,0.10576923076923077,0.6136363636363636,0.0,0.6136363636363636,0.0,1.0,0.0,0.0,0.8942307692307693,0.10576923076923077,0.6136363636363636,0.0,0.6136363636363636,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152243589743589,0.5088141025641025,0.8776859504132232,0.967373572593801,0.11778846153846154,0.05448717948717949,-0.47892594889044904,0.0,-0.47892594889044904,-0.0008012820512821595,-0.0064102564102563875,0.0,0.0,0.0
24,-0.24563799754442625,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.3694);hold_rate > 0.3500 (got 0.6306);precision_down < 0.4900 (got 0.0000),-0.365,-0.485,1,0.6306089743589743,0.36939102564102566,0.5292841648590022,0.0,0.5292841648590022,0.0,1.0,0.0,0.0,0.6306089743589743,0.36939102564102566,0.5292841648590022,0.0,0.5292841648590022,0.0,1.0,0.0,0.0,0.6306089743589743,0.36939102564102566,0.5292841648590022,0.0,0.5292841648590022,0.0,1.0,0.0,0.0,0.6306089743589743,0.36939102564102566,0.5292841648590022,0.0,0.5292841648590022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152243589743589,0.5152243589743589,0.996694214876033,1.0,0.007211538461538462,0.0,-0.2482021001085288,0.002564102564102555,-0.24563799754442625,0.0,0.0064102564102563875,0.0,0.0064102564102563875,0.0
25,-0.5113074766665192,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0769);hold_rate > 0.3500 (got 0.9231);precision_down < 0.4900 (got 0.0000),-0.6513696829974651,-0.655,1,0.9230769230769231,0.07692307692307693,0.5625,0.0,0.5625,0.0,1.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.5625,0.0,0.5625,0.0,1.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.5625,0.0,0.5625,0.0,1.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.5625,0.0,0.5625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256410256410257,0.5104166666666666,0.8074324324324325,0.9378068739770867,0.13701923076923078,0.07211538461538461,-0.5154741433331859,0.004166666666666696,-0.5113074766665192,0.01041666666666674,-0.004807692307692291,0.01041666666666674,0.0,0.0
